molecule_id	score_a	score_b	paff_a	paff_b	score_delta_b_minus_a	pAffinity_delta_b_minus_a
CHEMBL3353410	0.7249607	0.723781	8.265088992010918	6.632001057954103	-0.0011797000000000057	-1.6330879340568156
CHEMBL3545311	0.46396908	0.46338287	7.860166527975773	8.18045606445813	-0.0005862099999999759	0.3202895364823579
CHEMBL4214567	0.0	0.0	8.522878745280337	8.522878745280337	0.0	0.0
CHEMBL5095169	0.07145984	0.0714421	9.1259059864969	7.397940008672037	-1.77400000000022e-05	-1.727965977824863
CHEMBL5206715	0.36715996	0.36588255	10.0	9.69897000433602	-0.0012774100000000344	-0.3010299956639795
CHEMBL5266919	0.27191493	0.2712192	8.528708288941061	7.0	-0.0006957300000000055	-1.5287082889410613
CHEMBL5269317	0.18439445	0.1832133	9.327902142064282	7.0	-0.001181149999999992	-2.327902142064282
CHEMBL5272747	0.23646198	0.23570858	7.87942606879415	7.0	-0.0007533999999999874	-0.8794260687941504
CHEMBL5273197	0.27191493	0.2712192	9.221848749616356	7.0	-0.0006957300000000055	-2.221848749616356
CHEMBL5274514	0.23646198	0.23570858	9.259637310505756	7.257274868695302	-0.0007533999999999874	-2.0023624418104538
CHEMBL5286055	0.23646198	0.23570858	8.153044674980176	7.062983892535186	-0.0007533999999999874	-1.09006078244499
CHEMBL5286636	0.21318536	0.21242844	9.267606240177033	7.0	-0.0007569199999999943	-2.2676062401770327
CHEMBL5287438	0.23646198	0.23570858	9.468521082957745	7.402304814074488	-0.0007533999999999874	-2.066216268883257
CHEMBL5289304	0.18439445	0.1832133	9.187086643357144	7.0	-0.001181149999999992	-2.1870866433571443
CHEMBL5290583	0.21318536	0.21242844	9.657577319177792	7.0	-0.0007569199999999943	-2.6575773191777916
CHEMBL5542997	0.45527047	0.45540065	6.669180533504163	7.7942544590573375	0.00013018000000003527	1.125073925553174
CHEMBL5563885	0.34856254	0.34893447	6.047352830241056	7.420788219768501	0.0003719300000000203	1.3734353895274447
